title	requisitions
Assoc Delivery Cons, AI/ML, A2C ProServe Shared Delivery	2
Associate Delivery Consultant - Security, ProServe A2C Delivery, A2C	2
Associate Delivery Consultant – AIML, ProServe A2C Delivery , Proserve A2C	2
Associate Engagement Manager, ProServe A2C Delivery , A2C ProServe Shared Delivery (SDT)	2
Builder - Mobile (Platform), Ring	2
Chip Design Engineer	2
Chip Design Engineer, Graviton Team	2
Chip Design Engineer, Nitro Chip Design Team	2
Chip Design Engineer, Nitro Team	2
EC2 Instance Networking SDEII, EC2 Instance Networking	2
Embedded SDE II, Prime Air	2
Embedded Software Dev Engineer, Amazon Leo Antenna Development	2
Embedded Software Dev Engineer, Amazon Leo Customer Terminal Software	2
Embedded Software Development Engineer II, Amazon Robotics Firmware	2
Embedded Software Development Engineer, Flight Computer Software	2
Embedded Software Development Engineer, Ring Team	2
Embedded Software Engineer , EFA Annapurna	2
Embedded Software Engineer - Nitro , Annapurna Labs	2
Embedded Software Engineer, AWS Annapurna Labs	2
Embedded Software Engineer, Amazon Leo Optical Inter-Satellite Link	2
Embedded Software Engineer, SRD Annapurna Labs	2
Embedded Software Engineer, Server Control Firmware	2
Embedded Software Manager, Mobile Robotics	2
Embedded Software Student , Annapurna Labs	2
Forward Deployed Engineering Manager, FDE US Government	2
Front End Engineer , Amazon Leo	2
Front End Engineer II, Amazon Leo	2
Front-End Engineer II, ECR	2
Front-End Engineer, Amazon Connect (AWS)	2
Front-End Engineer, Amazon Quick	2
HPC Platform Engineer, Software, Center for Quantum Computing	2
Kernel / Hypervisor Engineer, Firecracker	2
Kernel/Hypervisor Engineer, EC2 Core Compute	2
Kernel/OS Engineer, AWS EC2 Nitro Operating System	2
Lead SDE C/C++ Hardware/Software Co-Design, Machine Learning Acceleration Systems	2
ML Software Engineer, Data Plane	2
Machine Learning - Compiler Engineer , AWS Neuron, Annapurna Labs	2
Manager III, Software Dev, Search Science Data Infra	2
Manager, Software Development, ENA Express Team, Annapurna Labs	2
Neuron Runtime Software Development Engineer , Neuron Runtime	2
Oracle Applications Functional Analyst, FinTech Cash Application, OFA Cash Application	2
Physical Design Engineer	2
Post-Silicon Systems Validation Engineer I, Annapurna Labs	2
Post-Silicon Systems Validation Engineer, Annapurna Labs	2
Pre-Silicon Verification Engineer	2
Principal Engineer, Nitro System, EC2	2
Robotics - Software Development Engineer	2
SDE II - Network Observability, Leo Networking Software	2
SDE II - Selling Partner Identity Verification and Registration, SPIV Tech	2
SDE II, AWS Field Experience	2
SDE II, EC2 Instance Networking, EC2 Nitro	2
SDE II, Perception and SLAM, Autonomous Mobility	2
SDE II, Sales Data Services (SDS)	2
SDE- Kuiper Network Services	2
SDE-1 (Fixed Term Contract)	2
SDE-II, Amazon OpenSearch Service	2
SW Automation Student, Annapurna Labs	2
Satellite RF Test SW Dev Engineer, Amazon Leo	2
Senior AI Engineer, DevTx LATAM	2
Senior Chip Design Engineer, Nitro Chip Design Team	2
Senior Delivery Consultant - Application Modernization, AWS Professional Services	2
Senior ML Software Engineer, Data Plane	2
Senior Network Software Engineer , SRD Annapurna Labs	2
Senior Software Dev Engineer, GuardDuty	2
Senior Software Dev Engineer, SCOT-FO, Shipment Optimization (ATROPS)	2
Senior Software Development Engineer, AZA	2
Senior Software Development Engineer, Amazon Leo Optical Inter-Satellite Link	2
Senior Software Development Engineer, Customer 360	2
Senior Software Engineer, AWS Applied AI Solutions	2
Senior Software Engineer, AWS Commercial Application Services	2
Senior Software Engineer, Bottlerocket	2
Senior Software Engineer, Fauna	2
Senior Software Engineer, Managed Streaming Kafka (MSK)	2
Senior Technical Program Manager, Leo Commerce TPM	2
Software Builder, Amazon Devices	2
Software Dev Engineer I FTC	2
Software Dev Engineer II (SDE2), Amazon Connect	2
Software Dev Engineer II, AWS Applied AI Solutions	2
Software Dev Engineer II, AWS Builder Acceleration	2
Software Dev Engineer II, AWS Transactional Services (Database & Distributed Systems), Transactional Services	2
Software Dev Engineer II, Alexa Connections	2
Software Dev Engineer II, Amazon Interactive Video Service (IVS), Stream Management	2
Software Dev Engineer II, Amazon Payment Products	2
Software Dev Engineer II, Aurora Open Source Engines	2
Software Dev Engineer II, Business Data Technology	2
Software Dev Engineer II, EBS Placement	2
Software Dev Engineer II, Offers Platform, Catalog Systems, ASCS	2
Software Dev Engineer II, Personal Devices	2
Software Dev Engineer II, Ship Tech | Labeling	2
Software Dev Engineer II, Stores Foundational AI -SFAI	2
Software Dev Engineer II-TEST , Agentic Workspaces	2
Software Dev Engineer III, Amazon Interactive Video Service (IVS), Stream Management	2
Software Dev Engineer, AWS Billing	2
Software Dev Engineer, AWS Resilience Hub	2
Software Dev Engineer, Amazon Security Automation	2
Software Dev Engineer, Benefits Experience and Technology (BXT)	2
Software Dev Engineer, EC2 Nitro	2
Software Dev Engineer, Leo Ground Control Services	2
Software Dev Manager III, Amazon Leo	2
Software Developer Engineer, Amazon WorkSpaces Core Managed Instances	2
Software Developer, IES LATECH & GIS	2
Software Development Engineer , Adaptive Search Relevance	2
Software Development Engineer , Amazon Leo , Amazon Leo Commerce	2
Software Development Engineer , Amazon Leo Commerce	2
Software Development Engineer , Inventory Accounting	2
Software Development Engineer , Leo Secure Communications Team	2
Software Development Engineer - 2026	2
Software Development Engineer - AWS OpenSearch, OpenSearch Dashboards	2
Software Development Engineer - AWS, Amazon GuardDuty	2
Software Development Engineer - BIOS/UEFI, AWS Hardware Engineering, Firmware Development	2
Software Development Engineer - Discovery Tech, DiscoTec (Discovery Technology & Science)	2
Software Development Engineer - II	2
Software Development Engineer - RDS Platform, RDS	2
Software Development Engineer - Silicon Development Infrastructure	2
Software Development Engineer - Supply Chain Optimization Tech, Inbound Systems	2
Software Development Engineer 2, Amazon Kids, Amazon Kids	2
Software Development Engineer II , Amazon Pay	2
Software Development Engineer II , Product & Offers Experience	2
Software Development Engineer II — Ads Reporting, Programmatic Reporting Interfaces	2
Software Development Engineer II, AWS Activate	2
Software Development Engineer II, AWS Compliance & Security Assurance, Denied Party Screening	2
Software Development Engineer II, AWS EKS	2
Software Development Engineer II, AWS Eventbridge	2
Software Development Engineer II, AWS IAM Identity Center	2
Software Development Engineer II, AWS SageMaker AI	2
Software Development Engineer II, Account Compliance Tech	2
Software Development Engineer II, Amazon Finance Technology	2
Software Development Engineer II, Amazon MSK	2
Software Development Engineer II, Amazon Now	2
Software Development Engineer II, Amazon Smart Vehicles	2
Software Development Engineer II, Amazon Vulnerability Management Services	2
Software Development Engineer II, Delivery Choice	2
Software Development Engineer II, Digital Acceleration	2
Software Development Engineer II, Digital Pricing and Competitive Intelligence (D-PRICIQ ), Digital Acceleration	2
Software Development Engineer II, EC2 Infrastructure Foundational Services	2
Software Development Engineer II, FinTech	2
Software Development Engineer II, Fintelligence Workplace	2
Software Development Engineer II, Hosted Execution (HEX)	2
Software Development Engineer II, Leo AI Foundations	2
Software Development Engineer II, Omnichannel Metrics (OCM) - Measurement, Ad Tech, and Data Science (MADS)	2
Software Development Engineer II, Post Silicon Validation	2
Software Development Engineer II, Programming Foundations (ASBX)	2
Software Development Engineer II, Secure Connection Services (SCS)	2
Software Development Engineer III, AZA (Gen AI)	2
Software Development Engineer III, Alexa Connected Devices	2
