country	requisitions
USA	1688
IND	384
CAN	176
ISR	96
IRL	57
GBR	35
BRA	34
DEU	29
AUS	27
MEX	18
ESP	11
ROU	10
ZAF	10
TWN	8
CHN	7
POL	7
FRA	4
LUX	3
JPN	2
AUT	1
FIN	1
ITA	1
NLD	1
SGP	1
SWE	1
VNM	1
