name	field	mad_site_paper_count	coverage_state	note
Ronald Mickens	Mathematical Physics	90	discovery_only	
Walter M. Miller	Dynamical Systems	7	discovery_only	
Hugh Millington	Analysis	8	discovery_only	
Luna I. Mishoe	Applied Mathematics	8	discovery_only	
Salah-Eldin A. Mohammed	Differential Equations	27	discovery_only	
Harry Morrison	Mathematical Physics		discovery_only	paper count absent on MAD research-core row
John N. Mutio	Algebra	5	discovery_only	
Ousseynou Nakoulima	Algebraic Geometry	5	discovery_only	
James Nelson, Jr.	Topology	6	discovery_only	
Gaston M. N'Guérékata	Analysis	40	discovery_only	
Mary Teuw Niane		10	discovery_only	
G. Edward Njock	Algebra	18	discovery_only	
Guy M. Nkiet	Statistics	12	discovery_only	
Marius N. Nkashama	Differential Equations	31	discovery_only	
Chike Obi	Applied Mathematics	21	discovery_only	
Wandera Ogana	Applied Mathematics	32	discovery_only	
James Adedayo Oguntuase	Analysis	17	discovery_only	
David O. Olagunju	Applied Mathematics	13	discovery_only	
Johnson O. Olaleru	Topology	8	discovery_only	
Adegoke Olubummo	Analysis	24	discovery_only	
George O. Okikiolu	Analysis	193	discovery_only	
Katherine Okikiolu	Analysis	8	discovery_only	
Zephyrinus Okonkwo	Applied Mathematics	10	discovery_only	
Kevin Osondu	Algebra	11	discovery_only	
Micah Okwuchukwu Osilike	Applied Mathematics	7	discovery_only	
Gabriel A. Oyibo	Applied Mathematics	10	discovery_only	
Aida B. Paalman-De Miranda	Topology	12	discovery_only	
Richard F. Patterson	Statistics	9	discovery_only	
Paul Peart	Combinatorics	13	discovery_only	
Arlie O. Petters	Mathematical Physics	26	discovery_only	
Percy A. Pierre	Applied Mathematics	12	discovery_only	
Carl Prather	Analysis	25	discovery_only	
Donald Richards	Statistics	53	discovery_only	
DeJuran Richardson	Biostatistics	10	discovery_only	
Karl Robinson	Algebra	7	discovery_only	
Philippe Rukimbira	Differential Geometry	12	discovery_only	
Samir H. Saker	Differential / Difference Equations	70	discovery_only	
Daouda Sangare	Algebra	10	discovery_only	
Donald F. St. Mary	Differential Equations / Acoustics	24	discovery_only	
Bonita Saunders	Applied Mathematics	7	discovery_only	
Hamet Seydi	Algebraic Geometry	38	discovery_only	
Juma Shabani	Mathematical Physics	18	discovery_only	
Temba Shonhiwa	Combinatorics	9	discovery_only	
Precious Sibanda	Applied Mathematics	18	discovery_only	
Kenny Koffi Siggini	Analysis	6	discovery_only	
Adewale Solarin	Algebra / Statistics	55	discovery_only	
Willie E. Taylor, Jr.	Differential Equations	35	discovery_only	
Haroon Tejumola	Differential Equations	33	discovery_only	
Doudou Sakhir Thiam		5	discovery_only	
Michael M. Tom	Differential Equations	10	discovery_only	
Barama Toni	Differential Analysis / Geometry	8	discovery_only	
Saliou Toure	Analysis	9	discovery_only	
Hamidou Touré	Mathematical Physics	12	discovery_only	
James C. Turner	Applied Mathematics	4	discovery_only	MAD page lists this count despite stated at-least-five criterion
Livinus Uko	Numerical Functional Analysis	31	discovery_only	
Aissa Wade	Symplectic Geometry	7	discovery_only	
Donald Weddington	Topology	4	discovery_only	MAD page lists this count despite stated at-least-five criterion
Suzanne L. Weekes	Applied Mathematics	8	discovery_only	
Nathaniel Whitaker	Applied Mathematics	6	discovery_only	
J. Ernest Wilkins	Applied Mathematics / Nuclear Engineering	86	discovery_only	
Daniel A. Williams	PDE / Applied Mathematics	6	discovery_only	
Floyd Williams	Analysis	44	discovery_only	
Lawrence R. Williams	Analysis	11	discovery_only	
Scott W. Williams	Topology / Set Theory	32	discovery_only	
Paul E. Wright	Graph Theory	15	discovery_only	
Abdul-Aziz Yakubu	Mathematical Biology	17	discovery_only	
Emmanuel Yomba	Mathematical Physics	5	discovery_only	
