person	mad_ordinal	citation	publication_state	evidence_state	note
Augustin Banyaga	13	Banyaga, Augustin; Urwin, Ross W. Sur la cohomologie du groupe des difféomorphismes. C. R. Acad. Sci. Paris Sér. I Math. 294 (1982), 625–627.	published	discovery_only	
Augustin Banyaga	12	Banyaga, Augustin; Pulido, Javier. On the group of contact diffeomorphisms of R^{2n+1}. Bol. Soc. Mat. Mexicana 23 (1978), 43–47.	published	discovery_only	
Augustin Banyaga	11	Banyaga, Augustin. On fixed points of symplectic maps. Invent. Math. 56 (1980), 215–229.	published	discovery_only	
Augustin Banyaga	10	Banyaga, Augustin. On the structure of the automorphism group of a toral action. Hadronic J. 2 (1979), 296–320.	published	discovery_only	
Augustin Banyaga	9	Banyaga, Augustin. Sur la structure du groupe des difféomorphismes qui préservent une forme symplectique. Comment. Math. Helv. 53 (1978), 174–227.	published	discovery_only	
Augustin Banyaga	8	Banyaga, Augustin. The group of diffeomorphisms preserving a regular contact form. Monogr. Enseign. Math. 26 (1978), 47–53.	published	discovery_only	
Augustin Banyaga	7	Banyaga, Augustin. On the structure of the group of equivariant diffeomorphisms. Topology 16 (1977), 279–283.	published	discovery_only	
Augustin Banyaga	6	Banyaga, Augustin. Sur la structure de certains groupes de difféomorphismes. Publ. Dép. Math. (Lyon) 13 (1976), 57–61.	published	discovery_only	
Augustin Banyaga	5	Banyaga, Augustin. Sur le groupe des automorphismes d'un T^n-fibré principal. C. R. Acad. Sci. Paris Sér. A-B 284 (1977), A619–A622.	published	discovery_only	
Augustin Banyaga	4	Banyaga, Augustin. Sur le groupe des difféomorphismes symplectiques. Lecture Notes in Math. 484 (1975), 50–56.	published	discovery_only	
Augustin Banyaga	3	Banyaga, Augustin. Sur le groupe des difféomorphismes qui préservent une forme de contact régulière. C. R. Acad. Sci. Paris Sér. A-B 281 (1975), A707–A709.	published	discovery_only	
Augustin Banyaga	2	Banyaga, Augustin. Formes-volume sur les variétés à bord. Enseignement Math. 20 (1974), 127–131.	published	discovery_only	
Augustin Banyaga	1	Banyaga, Augustin. Sur le groupe des difféomorphismes symplectiques. C. R. Acad. Sci. Paris 278 (1974), 1343–1344.	published	discovery_only	
Trachette L. Jackson	1	Criminale, W. O.; Jackson, T. L.; Nelson, P. W. Limit cycle-strange attractor competition. Stud. Appl. Math. 112 (2004), 133–160.	published	discovery_only	
Trachette L. Jackson	2	Jackson, T. L. A mathematical model of prostate tumor growth and androgen-independent relapse. Discrete Contin. Dyn. Syst. Ser. B 4 (2004), 187–201.	published	abstract_read	abstract independently checked
