business_category	rank_within_business	requisitions	title
studentprograms	10	1	Software Dev Engineer - Big Data Processing, S3 - Data and Analytics
studentprograms	11	1	Software Dev Engineer - Embedded Development
studentprograms	12	1	Software Dev Engineer - Embedded Development (Linux), Amazon Linux
studentprograms	13	1	Software Dev Engineer - Embedded Development - Low Level, EC2 Live Migration
studentprograms	14	1	Software Dev Engineer - Test, Ring & Blink Firmware
studentprograms	15	1	Software Dev Engineer Embedded Development
studentprograms	16	1	Software Dev Engineer Internship - Embedded Development (Linux)
studentprograms	17	1	Software Dev Engineer internship - Embedded Development
studentprograms	18	1	Software Dev Engineer, Ring Core Product
studentprograms	19	1	Software Developer - Full Time, Amazon University, CDMX, Mexico
studentprograms	20	1	Software Development Engineer , Amazon University Talent Aquisition (AUTA)
studentprograms	21	1	Software Development Engineer - 2026
studentprograms	22	1	Software Development Engineer - 2026 (US)
studentprograms	23	1	Software Development Engineer - Military Veterans
studentprograms	24	1	Software Development Engineer Apprentice - Military Veterans
studentprograms	25	1	Software Development Engineer Intern, AWS Data Services - Fall 2026 (US)
subsidiaries	1	5	Senior Software Development Engineer
subsidiaries	2	3	Senior Software Development Engineer, Consumer Domains
subsidiaries	3	2	Embedded Software Development Engineer II, Amazon Robotics Firmware
subsidiaries	4	2	Embedded Software Manager, Mobile Robotics
subsidiaries	5	2	SDE II, Perception and SLAM, Autonomous Mobility
subsidiaries	6	2	Senior Software Engineer, Fauna
subsidiaries	7	2	Software Development Engineer
subsidiaries	8	2	Software Development Engineer, AI Data Infrastructure
subsidiaries	9	2	Software Development Engineer, Amazon Robotics
subsidiaries	10	2	Software Development Engineer, Creator Marketplace
subsidiaries	11	2	Software Development Engineer, Early Career
subsidiaries	12	2	Software Development Engineer, iOS
subsidiaries	13	1	Design Technologist, Robot Animation , Fauna
subsidiaries	14	1	Director of Software Development, Android
subsidiaries	15	1	Embedded Robotics SDE, Compass
subsidiaries	16	1	Embedded Software Development Engineer - Sensor & Compute, Amazon Robotics
subsidiaries	17	1	Embedded Software Development Engineer II, Amazon Robotics Embedded Safety Systems
subsidiaries	18	1	Embedded Software Engineer II, Autonomy Platform, Data and Tools
subsidiaries	19	1	Firmware Engineer, Amazon Robotics
subsidiaries	20	1	Head of Creator Technologies
subsidiaries	21	1	Lead Software Development Engineer
subsidiaries	22	1	Lead Software Development Engineer, Consumer Domains
subsidiaries	23	1	Lead Software Development Engineer, Marketing Content Management System
subsidiaries	24	1	ML Infrastructure Engineer, Fauna
subsidiaries	25	1	Manipulation Robotics Embedded SDE
transportation-and-logistics	1	2	Software Dev Engineer II, Ship Tech | Labeling
transportation-and-logistics	2	1	Data Engineer, WW Returns & ReComm Tech& Inn
transportation-and-logistics	3	1	Manager III, Software Dev, TITANS
transportation-and-logistics	4	1	Senior Software Development Manager, Amazon Freight
transportation-and-logistics	5	1	Senior Technical Program Manager, Relay Central (TTS)
transportation-and-logistics	6	1	Software Dev Engineer, SSD Route Orchestration
transportation-and-logistics	7	1	Software Development Engineer II, Recipient Experience, Recipient Experience
transportation-and-logistics	8	1	Software Development Manager III, WW Services Tech
transportation-and-logistics	9	1	Software Development Manager, QuBIT Ripple
transportation-and-logistics	10	1	Software Development Manager, Transportation Financial Systems
transportation-and-logistics	11	1	Sr Technical Program Manager, Geospatial
transportation-and-logistics	12	1	Sr. Software Dev Engineer, Routing Platform
transportation-and-logistics	13	1	Technical Program Manager, World Wide Returns & Recommerce
university	1	1	Software Development Engineer - 2026
worldwide-grocery-stores	1	1	Software Development Engineer, Inbound & Inventory Management Tech
worldwide-grocery-stores	2	1	Software Development Manager, WWGST
