business_category	team_label	requisitions	management_requisitions	ic_or_unidentified_requisitions	distinct_titles	countries
customer-trust-and-partner-support	label=team-selling-partner-risk	1	1	0	1	1
customer-trust-and-partner-support	label=team-selling-partner-support	1	0	1	1	1
ecp	label=team-global-it-services	1	0	1	1	1
ecp	label=team-intelligent-cloud-control	1	1	0	1	1
finance	label=team-consumer	1	0	1	1	1
finance	label=team-finauto	1	0	1	1	1
fulfillment-and-operations	label=no-team-listed	1	0	1	1	1
fulfillment-ops	label=team-sustainability	1	1	0	1	1
fulfillment-technology-and-robotics	label=team-frontier-ai-robotics	1	0	1	1	1
healthcare	label=team-health-compliance	1	1	0	1	1
healthcare	label=team-pharmacy	1	1	0	1	1
international-stores	label=seller-services	1	0	1	1	1
international-stores	label=team-international-sellers-group	1	1	0	1	1
international-stores	label=team-kindlecontent	1	0	1	1	1
legal	label=team-legal-technology	1	0	1	1	1
north-america-stores	label=fashion	1	0	1	1	1
operations	label=team-amazon-delivery-technology	1	0	1	1	1
operations	label=team-global-customer-fulfillment-services	1	0	1	1	1
operations	label=team-no-team-listed	1	0	1	1	1
operations	label=team-ops-it	1	0	1	1	1
operations	label=team-transportation-engineering-services	1	0	1	1	1
operations	label=veeqo	1	0	1	1	1
pharmacy	label=no-team-listed	1	0	1	1	1
retail	label=team-na-expansion	1	0	1	1	1
selling-partner-services	label=fulfillment-by-amazon	1	0	1	1	1
transportation-and-logistics	label=team-amzl	1	1	0	1	1
transportation-and-logistics	label=team-na-operations	1	1	0	1	1
university	label=team-full-time-university-tech	1	0	1	1	1
